model,qid,category,correct_answer,baseline_prediction,baseline_correct,L1_prediction,L1_correct,L2_prediction,L2_correct,L3_prediction,L3_correct,L4_prediction,L4_correct,MCT,final_flip_level,instability,pattern
TinyLlama-1.1B,M-D01,historical_narrative,C,B,0,D,0,D,0,D,0,D,0,5,never,0,0→0→0→0→0
TinyLlama-1.1B,M-D02,historical_narrative,A,A,1,A,1,A,1,A,1,A,1,0,baseline,0,1→1→1→1→1
TinyLlama-1.1B,M-D03,historical_narrative,A,B,0,B,0,B,0,B,0,B,0,5,never,0,0→0→0→0→0
TinyLlama-1.1B,M-D04,historical_narrative,B,B,1,B,1,B,1,B,1,B,1,0,baseline,0,1→1→1→1→1
TinyLlama-1.1B,M-D05,historical_narrative,B,B,1,B,1,B,1,B,1,B,1,0,baseline,0,1→1→1→1→1
TinyLlama-1.1B,M-D06,historical_narrative,D,D,1,B,0,D,1,D,1,D,1,0,baseline,1,1→0→1→1→1
TinyLlama-1.1B,M-D07,historical_narrative,B,B,1,B,1,B,1,B,1,B,1,0,baseline,0,1→1→1→1→1
TinyLlama-1.1B,M-D08,historical_narrative,A,A,1,A,1,A,1,A,1,A,1,0,baseline,0,1→1→1→1→1
TinyLlama-1.1B,M-D11,geographic_attribution,A,A,1,A,1,A,1,A,1,A,1,0,baseline,0,1→1→1→1→1
TinyLlama-1.1B,M-D12,historical_narrative,B,B,1,B,1,B,1,B,1,B,1,0,baseline,0,1→1→1→1→1
TinyLlama-1.1B,M-E01,historical_narrative,C,C,1,C,1,C,1,C,1,C,1,0,baseline,0,1→1→1→1→1
TinyLlama-1.1B,M-E04,historical_narrative,B,B,1,B,1,B,1,B,1,B,1,0,baseline,0,1→1→1→1→1
TinyLlama-1.1B,M-E06,historical_narrative,C,C,1,C,1,C,1,C,1,C,1,0,baseline,0,1→1→1→1→1
TinyLlama-1.1B,M-E07,historical_narrative,D,C,0,C,0,C,0,C,0,C,0,5,never,0,0→0→0→0→0
TinyLlama-1.1B,M-E10,historical_narrative,A,A,1,A,1,A,1,A,1,A,1,0,baseline,0,1→1→1→1→1
TinyLlama-1.1B,M-E11,historical_narrative,D,D,1,D,1,D,1,D,1,D,1,0,baseline,0,1→1→1→1→1
TinyLlama-1.1B,M-E12,geographic_attribution,B,A,0,A,0,A,0,A,0,A,0,5,never,0,0→0→0→0→0
TinyLlama-1.1B,M-E13,historical_narrative,B,A,0,B,1,B,1,B,1,B,1,1,L1,0,0→1→1→1→1
TinyLlama-1.1B,M-E15,historical_narrative,C,D,0,D,0,D,0,D,0,D,0,5,never,0,0→0→0→0→0
