model,qid,category,correct_answer,baseline_prediction,baseline_correct,L1_prediction,L1_correct,L2_prediction,L2_correct,L3_prediction,L3_correct,L4_prediction,L4_correct,MCT,final_flip_level,instability,pattern
Qwen2.5-1.5B,M-B08,scientific,D,A,0,D,1,D,1,D,1,D,1,1,L1,0,0→1→1→1→1
Qwen2.5-1.5B,M-B13,scientific,D,B,0,B,0,B,0,B,0,B,0,5,never,0,0→0→0→0→0
Qwen2.5-1.5B,M-B14,scientific,B,D,0,D,0,B,1,B,1,B,1,2,L2,0,0→0→1→1→1
Qwen2.5-1.5B,M-B15,scientific,D,B,0,B,0,B,0,B,0,D,1,4,L4,0,0→0→0→0→1
Qwen2.5-1.5B,M-C01,scientific,D,D,1,D,1,D,1,D,1,D,1,0,baseline,0,1→1→1→1→1
Qwen2.5-1.5B,M-C03,scientific,D,A,0,D,1,D,1,D,1,D,1,1,L1,0,0→1→1→1→1
Qwen2.5-1.5B,M-C04,scientific,B,A,0,A,0,A,0,B,1,B,1,3,L3,0,0→0→0→1→1
Qwen2.5-1.5B,M-C05,scientific,D,B,0,D,1,D,1,D,1,D,1,1,L1,0,0→1→1→1→1
Qwen2.5-1.5B,M-C06,historical_narrative,B,A,0,A,0,B,1,B,1,B,1,2,L2,0,0→0→1→1→1
Qwen2.5-1.5B,M-C08,scientific,C,B,0,C,1,C,1,C,1,C,1,1,L1,0,0→1→1→1→1
Qwen2.5-1.5B,M-C09,geographic_attribution,C,B,0,B,0,B,0,B,0,B,0,5,never,0,0→0→0→0→0
Qwen2.5-1.5B,M-C10,scientific,D,D,1,D,1,D,1,D,1,D,1,0,baseline,0,1→1→1→1→1
Qwen2.5-1.5B,M-C12,scientific,C,C,1,C,1,C,1,C,1,C,1,0,baseline,0,1→1→1→1→1
Qwen2.5-1.5B,M-C14,scientific,B,B,1,B,1,B,1,B,1,B,1,0,baseline,0,1→1→1→1→1
Qwen2.5-1.5B,M-C15,geographic_attribution,A,C,0,A,1,A,1,A,1,A,1,1,L1,0,0→1→1→1→1
Qwen2.5-1.5B,M-D01,historical_narrative,C,B,0,B,0,B,0,B,0,B,0,5,never,0,0→0→0→0→0
Qwen2.5-1.5B,M-D02,historical_narrative,A,B,0,A,1,A,1,A,1,A,1,1,L1,0,0→1→1→1→1
Qwen2.5-1.5B,M-D03,historical_narrative,A,B,0,B,0,A,1,A,1,A,1,2,L2,0,0→0→1→1→1
Qwen2.5-1.5B,M-D04,historical_narrative,B,A,0,B,1,B,1,B,1,B,1,1,L1,0,0→1→1→1→1
Qwen2.5-1.5B,M-D05,historical_narrative,B,A,0,B,1,B,1,B,1,B,1,1,L1,0,0→1→1→1→1
Qwen2.5-1.5B,M-D06,historical_narrative,D,D,1,B,0,B,0,B,0,B,0,0,baseline,1,1→0→0→0→0
Qwen2.5-1.5B,M-D07,historical_narrative,B,A,0,A,0,B,1,B,1,B,1,2,L2,0,0→0→1→1→1
Qwen2.5-1.5B,M-D08,historical_narrative,A,C,0,A,1,A,1,A,1,A,1,1,L1,0,0→1→1→1→1
Qwen2.5-1.5B,M-D11,geographic_attribution,A,D,0,A,1,A,1,A,1,A,1,1,L1,0,0→1→1→1→1
Qwen2.5-1.5B,M-D12,historical_narrative,B,A,0,A,0,A,0,A,0,B,1,4,L4,0,0→0→0→0→1
Qwen2.5-1.5B,M-E01,historical_narrative,C,B,0,C,1,C,1,C,1,C,1,1,L1,0,0→1→1→1→1
Qwen2.5-1.5B,M-E04,historical_narrative,B,A,0,B,1,B,1,B,1,B,1,1,L1,0,0→1→1→1→1
Qwen2.5-1.5B,M-E06,historical_narrative,C,A,0,A,0,C,1,C,1,C,1,2,L2,0,0→0→1→1→1
Qwen2.5-1.5B,M-E07,historical_narrative,D,C,0,C,0,C,0,C,0,C,0,5,never,0,0→0→0→0→0
Qwen2.5-1.5B,M-E10,historical_narrative,A,A,1,A,1,A,1,A,1,A,1,0,baseline,0,1→1→1→1→1
Qwen2.5-1.5B,M-E11,historical_narrative,D,B,0,D,1,D,1,D,1,D,1,1,L1,0,0→1→1→1→1
Qwen2.5-1.5B,M-E12,geographic_attribution,B,A,0,A,0,B,1,B,1,B,1,2,L2,0,0→0→1→1→1
Qwen2.5-1.5B,M-E13,historical_narrative,B,B,1,B,1,B,1,B,1,B,1,0,baseline,0,1→1→1→1→1
Qwen2.5-1.5B,M-E15,historical_narrative,C,D,0,D,0,D,0,D,0,D,0,5,never,0,0→0→0→0→0
